index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
23363,2023-04-22,129,Maple Ridge,CA,Rice cooker,Household appliances electric,Cuisinart,no,1.0
23364,2024-12-06,374,Zwolle Stadkamer,NL,Electric kettle / Electric jug,Household appliances electric,Cloer,no,3.0
23365,2018-03-10,11,Houten,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,8.0
23366,2019-10-05,16,Delft,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,9.0
23367,2024-12-12,545,Tubbergen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,10.0
23368,2023-02-04,9,Assen,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,10.0
23369,2019-03-02,9,Assen,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,8.0
23370,2024-11-02,9,Assen,NL,Rolled cookies iron,Household appliances electric,Cloer,no,10.0
23371,2025-02-15,637,Lingen-Laxten,DE,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,5.0
23372,2022-01-15,195,Ochtrup DE,DE,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,3.0
23373,2025-02-17,833,Ootmarsum,NL,Toaster,Household appliances electric,Cloer,yes,5.0
23374,2024-09-26,4,Capelle aan den IJssel,NL,Electric kettle / Electric jug,Household appliances electric,Cloer,yes,9.0
23375,2019-11-16,102,Steenwijkerland,NL,Rolled cookies iron,Household appliances electric,Cloer,no,7.0
23376,2019-06-08,11,Houten,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,9.0
23377,2023-02-23,4,Capelle aan den IJssel,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,4.0
23378,2018-02-03,9,Assen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,1.0
23379,2019-12-28,40,Zwolle-Stadshagen,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,10.0
23380,2024-08-15,545,Tubbergen,NL,Coffee maker,Household appliances electric,Cloer,half,9.0
23381,2024-02-10,687,Schalkwijk,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,7.0
23382,2022-02-03,4,Capelle aan den IJssel,NL,Coffee maker,Household appliances electric,Cloer,no,10.0
23383,2022-12-03,9,Assen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,8.0
23384,2022-11-16,422,Hart van Oijen,NL,Coffee maker,Household appliances electric,Cloer,yes,6.0
23385,2019-11-16,102,Steenwijkerland,NL,Rolled cookies iron,Household appliances electric,Cloer,no,7.0
23386,2024-12-14,698,Beilen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,1.0
23387,2024-01-13,687,Schalkwijk,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,7.0
23388,2024-09-28,637,Lingen-Laxten,DE,Toaster,Household appliances electric,Cloer,no,4.0
23389,2020-09-26,50,Middelburg,NL,Pancake maker,Household appliances electric,Cloer,yes,10.0
23390,2025-01-11,637,Lingen-Laxten,DE,Rolled cookies iron,Household appliances electric,Cloer,yes,8.0
23391,2019-10-18,36,Zwolle-Aa-landen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,1.0
23392,2025-01-18,544,Vleuten - De Meern,NL,Coffee grinder,Household appliances electric,Cloer,no,1.0
23393,2024-01-27,637,Lingen-Laxten,DE,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,6.0
23394,2020-08-01,16,Delft,NL,Electric kettle / Electric jug,Household appliances electric,Cloer,no,6.0
23395,2018-03-10,11,Houten,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,6.0
23396,2019-12-10,102,Steenwijkerland,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,6.0
23397,2022-01-22,195,Ochtrup DE,DE,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,6.0
23398,2023-11-30,545,Tubbergen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,3.0
23399,2022-06-18,195,Ochtrup DE,DE,Waffle iron / Waffle maker,Household appliances electric,Cloer,yes,2.0
23400,2024-01-06,9,Assen,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,8.0
23401,2024-08-31,637,Lingen-Laxten,DE,Rolled cookies iron,Household appliances electric,Cloer,yes,10.0
23402,2020-02-15,102,Steenwijkerland,NL,Rolled cookies iron,Household appliances electric,Cloer,no,7.0
23403,2017-11-18,21,Nijmegen-Oost,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,6.0
23404,2020-03-07,9,Assen,NL,Rolled cookies iron,Household appliances electric,Cloer,yes,8.0
23405,2025-05-17,676,Bad Endorf,DE,Electric kettle / Electric jug,Household appliances electric,Cloer,yes,5.0
23406,2025-01-23,545,Tubbergen,NL,Waffle iron / Waffle maker,Household appliances electric,Cloer,no,9.0
23407,2025-01-25,520,Ivinghoe & Pitstone,GB,Belt,Textile,Calvin Klein,yes,7.0
23408,2024-01-20,607,Kenilworth,GB,Printer,Computer equipment / phones,Canon,no,5.0
23409,2025-01-25,40,Zwolle-Stadshagen,NL,Printer,Computer equipment / phones,Canon,yes,9.0
23410,2024-02-08,582,Kewstoke Village,GB,Printer,Computer equipment / phones,Canon,no,1.0
23411,2023-11-17,36,Zwolle-Aa-landen,NL,Printer,Computer equipment / phones,Canon,no,4.0
23412,2024-04-20,664,Montreal,CA,Photo camera,Display and sound equipment,Canon,yes,4.0
23413,2024-03-07,381,Saint Vivien 17220,FR,Printer,Computer equipment / phones,Canon,yes,5.0
23414,2024-11-30,40,Zwolle-Stadshagen,NL,Printer,Computer equipment / phones,Canon,yes,9.0
23415,2025-02-22,40,Zwolle-Stadshagen,NL,Printer,Computer equipment / phones,Canon,yes,10.0
23416,2024-07-07,582,Kewstoke Village,GB,Photo camera,Display and sound equipment,Canon,no,1.0
23417,2024-03-21,4,Capelle aan den IJssel,NL,Printer,Computer equipment / phones,Canon,yes,8.0
23418,2024-02-10,539,Saint Martin's Finham,GB,Printer / scanner,Computer equipment / phones,Canon,half,6.0
23419,2025-01-18,607,Kenilworth,GB,Printer,Computer equipment / phones,Canon,no,5.0
23420,2024-08-10,156,Bourgoin-Jallieu,FR,Printer,Computer equipment / phones,Canon,no,8.0
23421,2024-10-05,9,Assen,NL,Racing track,Toys electric,Carrera,yes,8.0
23422,2024-10-26,525,Bergen op Zoom,NL,Wine cabinet,Household appliances electric,Unknown/n.a.,half,9.0
23423,2019-11-09,11,Houten,NL,Headphones,Display and sound equipment,Beyerdynamic,yes,5.0
23424,2024-10-19,744,l'Amarre Toulon,FR,Headphones,Display and sound equipment,Beyerdynamic,yes,4.0
23425,2019-04-20,17,Utrecht-Oost,NL,Headphones,Display and sound equipment,Beyerdynamic,yes,8.0
23426,2019-10-05,15,Nieuwegein,NL,Headphones,Display and sound equipment,Beyerdynamic,yes,10.0
23427,2020-02-18,114,Nieuwerkerk aan den IJssel,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,9.0
23428,2019-05-03,43,Amsterdam-Oud West Jeltje,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,yes,8.0
23429,2017-10-07,16,Delft,NL,Grass trimmer,Tools electric,Black+Decker,yes,0.0
23430,2024-04-27,520,Ivinghoe & Pitstone,GB,Strimmer,Tools electric,Black+Decker,yes,8.0
23431,2019-11-23,129,Maple Ridge,CA,Grill oven,Household appliances electric,Black+Decker,yes,8.0
23432,2023-10-04,653,'tSAAM Mierlo,NL,Sander,Tools electric,Black+Decker,yes,8.0
23433,2024-11-25,833,Ootmarsum,NL,Leaf blower,Tools electric,Black+Decker,yes,4.0
23434,2025-04-28,833,Ootmarsum,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,5.0
23435,2019-12-19,4,Capelle aan den IJssel,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,4.0
23436,2017-05-20,21,Nijmegen-Oost,NL,Sander,Tools electric,Black+Decker,no,10.0
23437,2021-06-26,156,Bourgoin-Jallieu,FR,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,7.0
